2016,
Jan,2.56
Feb,2.11
March,1.6
April,1.05
May,0.45
June,0.06
July,-0.25
August,-0.48
September,-0.46
October,-0.75
November,-0.63
December,-0.51
2017,
Jan,-0.34
Feb,-0.01
March,-0.09
April,0.22
May,0.3
June,0.22
July,0.22
August,-0.18
September,-0.56
October,-0.52
November,-0.84
December,-0.85
2018,
Jan,-0.86
Feb,-0.73
March,-0.73
April,-0.36
May,-0.12
June,0.12
July,0.27
August,0.05
September,0.3
October,0.84
November,1
December,0.97
2019,
Jan,0.51
Feb,0.62
March,0.81
April,0.67
May,0.61
June,0.66
July,0.41
August,0.19
September,0.11
October,0.55
November,0.74
December,0.51
2020,
Jan,0.64
Feb,0.48
March,0.36
April,0.49
May,-0.12
June,-0.21
July,-0.04
August,-0.42
September,-0.66
October,-1.19
November,-1.01
December,-0.98
2021,
Jan,-1.04
Feb,-0.94
March,-0.72
April,-0.55
May,-0.41
June,-0.06
July,-0.2
August,-0.38
September,-0.5
October,-0.78
November,-0.88
December,-1.07
2022,
Jan,-0.77
